Post ID,發布時間 (GMT+8),貼文連結,抓取日期,讚數,留言數,分享數,點擊數,觸及人數,影片觀看,自然觀看,付費觀看,讚,愛心,哇,哈哈,嗚嗚,怒,data_updated_at
103640919705348_1160719506252145,2025-11-21 12:00:05,https://www.facebook.com/1115814590742637/posts/1160719506252145,2025-12-18,11,1,0,21,914,0,0,0,7,0,0,0,0,4,2026-01-15 14:58:28
103640919705348_1160719506252145,2025-11-21 12:00:05,https://www.facebook.com/1115814590742637/posts/1160719506252145,2025-12-17,11,1,0,21,914,0,0,0,7,0,0,0,0,4,2026-01-15 14:58:28
103640919705348_1160719506252145,2025-11-21 12:00:05,https://www.facebook.com/1115814590742637/posts/1160719506252145,2025-12-16,11,1,0,21,907,0,0,0,7,0,0,0,0,4,2026-01-15 14:58:28
103640919705348_1158537509803678,2025-11-18 18:00:38,https://www.facebook.com/1115814590742637/posts/1158537509803678,2025-12-17,46,20,3,156,2255,0,0,0,33,0,0,7,0,6,2026-01-15 14:58:28
103640919705348_1158537509803678,2025-11-18 18:00:38,https://www.facebook.com/1115814590742637/posts/1158537509803678,2025-12-16,46,20,3,156,2249,0,0,0,33,0,0,7,0,6,2026-01-15 14:58:28
103640919705348_1158361969821232,2025-11-18 12:00:10,https://www.facebook.com/1115814590742637/posts/1158361969821232,2025-12-17,50,0,11,93,2341,0,0,0,39,2,0,1,0,8,2026-01-15 14:58:28
103640919705348_1158361969821232,2025-11-18 12:00:10,https://www.facebook.com/1115814590742637/posts/1158361969821232,2025-12-16,50,0,11,93,2338,0,0,0,39,2,0,1,0,8,2026-01-15 14:58:28
103640919705348_1157850333205729,2025-11-17 19:44:30,https://www.facebook.com/1115814590742637/posts/1157850333205729,2025-12-16,985,1148,48,29407,57006,0,0,0,369,3,10,524,0,79,2026-01-15 14:58:28
103640919705348_1155511413439621,2025-11-14 18:00:18,https://www.facebook.com/1115814590742637/posts/1155511413439621,2025-12-16,0,0,0,342,11819,0,0,0,197,11,1,4,30,2,2026-01-15 14:58:28
103640919705348_1155421470115282,2025-11-14 15:00:09,https://www.facebook.com/1115814590742637/posts/1155421470115282,2025-12-16,0,0,0,41,2892,0,0,0,11,1,0,3,0,7,2026-01-15 14:58:28
103640919705348_1155309043459858,2025-11-14 11:13:29,https://www.facebook.com/1115814590742637/posts/1155309043459858,2025-12-16,0,0,0,20010,91180,0,0,0,644,4,17,678,8,66,2026-01-15 14:58:28
103640919705348_1154658070191622,2025-11-13 15:00:05,https://www.facebook.com/1115814590742637/posts/1154658070191622,2025-12-16,0,0,0,518,7943,0,0,0,424,8,0,3,1,2,2026-01-15 14:58:28
103640919705348_1154549066869189,2025-11-13 11:30:01,https://www.facebook.com/1115814590742637/posts/1154549066869189,2025-12-16,0,0,0,22,1619,0,0,0,11,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1153851723605590,2025-11-12 15:00:18,https://www.facebook.com/1115814590742637/posts/1153851723605590,2025-12-16,0,0,0,27,1507,0,0,0,8,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1148657197458376,2025-11-06 15:59:46,https://www.facebook.com/1115814590742637/posts/1148657197458376,2025-12-16,0,0,0,29,1591,0,0,0,30,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1142625028061593,2025-10-30 19:08:41,https://www.facebook.com/reel/3056913261162135/,2025-12-16,0,0,0,19,1476,1,1,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1141113864879376,2025-10-28 19:00:39,https://www.facebook.com/1115814590742637/posts/1141113864879376,2025-12-16,0,0,0,61,1282,0,0,0,15,0,0,4,0,2,2026-01-15 14:58:28
103640919705348_1137468985243864,2025-10-24 18:01:14,https://www.facebook.com/1115814590742637/posts/1137468985243864,2025-12-16,0,0,0,32,1398,0,0,0,8,1,0,0,0,1,2026-01-15 14:58:28
103640919705348_1136492182008211,2025-10-23 16:16:42,https://www.facebook.com/1115814590742637/posts/1136492182008211,2025-12-16,0,0,0,12,1514,0,0,0,12,0,0,0,0,2,2026-01-15 14:58:28
